SPG21	[0.14832344 0.00042383]
KRT27	[-0.03642658  0.38916046]
TMEM151	[-0.0364262   0.38916541]
B3GAT1	[-0.03641957  0.38925168]
SRM	[0.03641102 0.3893632 ]
C21orf56	[-0.03639582  0.38956122]
UQCC	[0.03638842 0.38965774]
CEECAM1	[-0.03638756  0.38966893]
TP53I13	[-0.03638699  0.38967638]
GFRA3	[-0.03638132  0.38975037]
ZNF568	[-0.03635545  0.39008768]
GALNT5	[-0.03635124  0.39014262]
OR5M9	[-0.03634981  0.39016134]
TLL2	[-0.03633966  0.39029369]
SULT1E1	[-0.03633862  0.39030733]
VDR	[-0.03632357  0.39050372]
FGF6	[-0.03632321  0.39050843]
RNF150	[-0.03630764  0.39071181]
FAM14B	[0.03630038 0.39080652]
WBP5	[0.03629365 0.39089453]
TCTN2	[-0.0362935   0.39089638]
ZNF43	[0.03628441 0.39101525]
HIPK4	[-0.03627319  0.39116183]
UNC13C	[-0.03627228  0.39117373]
MANEA	[-0.03625335  0.39142113]
WNT16	[-0.03625197  0.39143912]
RAD51	[0.03625121 0.39144909]
DDIT4	[0.03624757 0.39149667]
CDH24	[-0.03624133  0.39157833]
PON3	[0.03623882 0.39161106]
IL1RL2	[0.03623658 0.39164041]
BTBD14A	[-0.03622285  0.39181996]
MRPS25	[0.03621928 0.39186667]
FKSG24	[0.03621601 0.39190948]
CCDC101	[0.03621165 0.39196645]
AK5	[-0.03620758  0.39201973]
RALY	[0.03620646 0.39203437]
CCR4	[-0.03620604  0.39203995]
UPF2	[0.03620106 0.39210511]
ADORA2A	[-0.03619654  0.39216425]
ACTR1B	[0.03619434 0.39219298]
USP37	[0.03618699 0.39228926]
PFDN4	[-0.03617693  0.392421  ]
STON1	[0.03616762 0.39254283]
ZFP14	[-0.03616654  0.39255697]
CRYZL1	[0.03616613 0.39256239]
HTR3D	[-0.03616326  0.39259991]
MYH15	[-0.03615493  0.39270912]
DPCR1	[-0.03615062  0.39276553]
C11orf10	[0.03614964 0.3927784 ]
IFNA10	[-0.03614817  0.39279763]
ATP12A	[-0.03614709  0.39281183]
C20orf96	[0.03614705 0.39281232]
ZSCAN1	[-0.03614598  0.39282631]
RNUXA	[0.03614527 0.39283561]
PSMD11	[-0.03613839  0.39292569]
CDC42EP2	[0.03613186 0.39301137]
FAM123B	[0.03612663 0.39307987]
C10orf62	[-0.03612351  0.39312075]
ZNF496	[-0.03611234  0.39326723]
NFKBIE	[-0.03611081  0.39328723]
CBX1	[-0.03610899  0.39331106]
C10orf137	[0.03610778 0.39332701]
MRC2	[-0.0361073   0.39333329]
RGS12	[-0.03609286  0.39352257]
KIAA1505	[0.03608893 0.39357412]
TSPAN9	[-0.0360879   0.39358764]
DLX6	[-0.03608476  0.39362891]
PCNA	[0.0360847  0.39362963]
HTR1E	[-0.03608179  0.3936678 ]
MAS1	[0.03608105 0.39367748]
GYPB	[-0.03607877  0.39370747]
PCDHGA7	[-0.0360776   0.39372287]
B3GALT1	[-0.0360765  0.3937372]
MTO1	[-0.03606966  0.39382697]
YBX2	[-0.03606741  0.39385645]
SRP9	[-0.03606561  0.39388014]
ADH1B	[-0.03606423  0.39389822]
GPR75	[-0.03606125  0.39393736]
UNQ6490	[-0.0360612   0.39393806]
CCNG1	[0.03605968 0.393958  ]
C10orf64	[-0.03605349  0.39403916]
CHCHD6	[-0.03604969  0.3940891 ]
LOC374395	[0.03604645 0.39413158]
PTER	[0.03604615 0.39413549]
VCP	[0.03604271 0.39418074]
FAM98A	[0.03603855 0.39423532]
LY6G5C	[-0.03603077  0.39433754]
SMAD9	[-0.03602941  0.39435532]
CDH4	[-0.03602734  0.39438247]
FAM78A	[-0.03602428  0.39442275]
GCDH	[0.03601704 0.39451781]
NUP205	[0.0360151 0.3945433]
ZNF543	[0.03601231 0.39457992]
TNFSF18	[-0.0360089   0.39462468]
RAD51C	[-0.03600826  0.39463312]
MYST1	[0.03600601 0.39466269]
GFRA4	[-0.03600092  0.39472955]
ZNF714	[0.03600052 0.39473478]
RPL27A	[-0.03599953  0.39474791]
ZNF441	[-0.03599645  0.39478826]
ZNF668	[-0.03599541  0.39480203]
CTSO	[-0.03599043  0.39486747]
PANK2	[0.03598831 0.39489525]
TRPV1	[-0.03598774  0.39490277]
HDDC3	[0.03598342 0.39495963]
LOC388284	[-0.03597733  0.39503965]
HOXA2	[-0.03597689  0.39504542]
NYX	[-0.03597653  0.3950502 ]
LOC133874	[-0.0359745   0.39507683]
HNF4A	[-0.03597304  0.39509596]
DPY19L1	[-0.03597067  0.3951272 ]
ATP6V1A	[-0.03596885  0.3951511 ]
SQRDL	[-0.03596082  0.39525675]
GALNT12	[0.03595725 0.39530367]
LOC130576	[-0.03595555  0.39532598]
DPP7	[-0.03594834  0.39542089]
FLJ44635	[-0.03594679  0.39544126]
LATS2	[-0.03594392  0.39547895]
BMI1	[0.0359361  0.39558188]
POU4F3	[-0.03592628  0.39571107]
TRMT1	[0.03592371 0.39574485]
CCDC74B	[0.03590893 0.39593949]
C18orf51	[-0.03590751  0.39595808]
PAQR3	[-0.03590702  0.39596457]
MCOLN1	[-0.03590305  0.39601682]
SLC22A3	[-0.03588183  0.39629631]
LOC339809	[-0.03588106  0.39630637]
OVOS2	[-0.03587246  0.3964197 ]
SNAI3	[-0.03587104  0.39643835]
GNPAT	[0.03585916 0.39659497]
NUP93	[0.0358543  0.39665896]
NQO2	[-0.03584372  0.39679844]
C1orf65	[-0.03584335  0.39680335]
HIATL1	[0.03583281 0.39694224]
PAICS	[0.03582335 0.39706701]
AVPI1	[0.03582242 0.3970792 ]
PAQR5	[0.03582039 0.39710607]
VSTM2A	[-0.03581555  0.3971699 ]
PRSS8	[0.03581172 0.39722041]
CENPI	[0.03580643 0.39729012]
NAGS	[-0.03580074  0.39736517]
DHRS7	[0.03580061 0.39736689]
MED19	[-0.03579376  0.39745724]
NKAP	[0.03578626 0.39755628]
SLC18A2	[-0.03578599  0.39755984]
SILV	[0.0357801 0.3976375]
C17orf68	[0.03577957 0.39764452]
STAT3	[-0.03577684  0.39768052]
SPARCL1	[-0.0357763   0.39768768]
DLG2	[-0.03577544  0.397699  ]
AGRN	[0.03576701 0.39781033]
WDR91	[0.03576506 0.39783611]
B3GNT3	[-0.03576161  0.39788157]
RP11-11C5.2	[-0.03575582  0.39795807]
KIAA1276	[-0.03574922  0.39804528]
C14orf162	[-0.03574776  0.39806458]
NOTCH3	[-0.0357446   0.39810619]
C16orf77	[0.03574371 0.39811801]
SLC1A3	[0.03574269 0.39813149]
C15orf39	[0.03573442 0.39824073]
ARMC5	[-0.03573123  0.3982828 ]
B3GALT4	[-0.03572535  0.39836052]
FGFBP3	[-0.0357161   0.39848283]
CPLX1	[-0.03570282  0.39865828]
MCHR2	[-0.03570233  0.39866474]
ZNF770	[0.03569972 0.3986993 ]
HES2	[-0.0356996  0.3987008]
ZNF775	[-0.03568301  0.39892016]
OTUD6B	[0.03567812 0.39898485]
IPO7	[0.03567796 0.39898697]
GBAS	[-0.03567739  0.39899446]
TSPAN19	[-0.03566366  0.39917609]
GCKR	[-0.03565039  0.39935175]
C9orf14	[-0.0356487   0.39937402]
LBX2	[-0.03563379  0.39957137]
TMEM150	[-0.03563241  0.3995897 ]
BCMO1	[-0.03562708  0.39966014]
CLUL1	[-0.0356201   0.39975263]
APP	[-0.03561848  0.3997741 ]
SEC24B	[0.03561402 0.39983314]
E2F6	[-0.03560184  0.39999446]
CCDC109A	[0.03560068 0.40000979]
MYBPH	[-0.0355969   0.40005989]
LOC285908	[-0.03559657  0.40006427]
DKFZP564O0523	[-0.03559619  0.40006928]
SLC9A5	[-0.03558415  0.40022871]
PCDHB14	[0.03557695 0.40032423]
TSC22D4	[-0.03557531  0.4003459 ]
ORC3L	[0.03556161 0.40052747]
MRPL54	[-0.03556083  0.40053788]
CBX8	[-0.03555883  0.40056439]
SRD5A2L	[-0.03555859  0.40056753]
USE1	[0.0355578  0.40057803]
A2ML1	[-0.03555251  0.40064814]
C17orf78	[-0.0355495   0.40068797]
LRRC6	[-0.03554381  0.40076346]
ID4	[0.03554335 0.40076963]
RBPMS2	[-0.0355432   0.40077151]
SH3BP4	[0.03553872 0.40083099]
XPO4	[0.03552874 0.40096339]
UCHL3	[0.03552159 0.40105815]
ZNF248	[-0.03551615  0.40113032]
TXNDC11	[0.0355105  0.40120532]
ALG3	[0.03549744 0.40137866]
SYT6	[-0.03549614  0.40139588]
C10orf59	[0.03549133 0.40145966]
LRRC28	[0.03548939 0.40148543]
MGRN1	[-0.03548808  0.40150287]
PEMT	[0.0354849  0.40154502]
VPS52	[-0.03548385  0.40155902]
PPIL2	[-0.0354773   0.40164598]
PGGT1B	[0.03547597 0.40166359]
LOC643641	[-0.03547473  0.40168011]
ZNF418	[0.03547437 0.40168494]
PRR18	[-0.03546763  0.4017744 ]
PANX1	[0.03546406 0.4018218 ]
GCLC	[-0.03545884  0.4018911 ]
PHACTR2	[-0.03545846  0.40189616]
RAD23B	[0.03545553 0.40193507]
SESTD1	[-0.03545547  0.40193588]
MPND	[0.03545419 0.4019529 ]
PPEF2	[-0.0354517   0.40198597]
SLC16A2	[-0.03544279  0.40210438]
HTN3	[-0.03543887  0.40215647]
FLJ20254	[-0.03543617  0.40219226]
TSPYL3	[-0.03543571  0.40219841]
POU3F3	[-0.03543439  0.40221597]
EPGN	[-0.03543153  0.40225397]
AP3B2	[-0.03542635  0.40232281]
TROAP	[0.03542255 0.40237335]
ENPP7	[-0.03541905  0.4024198 ]
NDUFA8	[0.03541162 0.40251863]
AGBL2	[-0.03540854  0.40255961]
SND1	[0.03540251 0.40263978]
PIP5K1A	[-0.0353975   0.40270643]
KIAA1797	[0.03539606 0.40272558]
NID1	[-0.03539468  0.40274385]
ROBO2	[-0.03539102  0.40279262]
ASB17	[-0.03538851  0.402826  ]
PRIC285	[-0.03538185  0.40291449]
FAM26C	[-0.03538174  0.40291596]
CDK2	[0.03537908 0.4029514 ]
POLR1A	[0.03537427 0.40301541]
BTNL8	[-0.03536232  0.40317432]
UBL5	[-0.03536205  0.40317802]
NEU4	[-0.035353    0.40329849]
TSP50	[-0.03535021  0.4033356 ]
DPYS	[-0.03534435  0.40341356]
ZHX1	[-0.03534032  0.40346726]
MSTO1	[-0.03533871  0.40348863]
FRS2	[0.03533758 0.40350373]
USP34	[0.03532285 0.40369985]
STMN3	[-0.03531065  0.40386238]
DEFA6	[-0.03530638  0.40391919]
HEMGN	[-0.03530534  0.40393315]
C12orf61	[-0.03529375  0.40408758]
TRIP6	[0.03528685 0.40417944]
ANKRD47	[-0.03528373  0.40422101]
ITPK1	[0.03528197 0.40424458]
ASCC2	[0.03527845 0.40429146]
PRSS36	[-0.03527793  0.40429835]
CCM2	[-0.03527375  0.40435411]
FZD4	[0.03526549 0.40446423]
ACADS	[0.03525828 0.40456042]
NEK6	[-0.03524426  0.40474736]
FAM124A	[0.03522941 0.40494549]
ZC3HAV1	[0.03522451 0.40501085]
C2orf40	[-0.03522047  0.4050647 ]
DLL3	[-0.0352161   0.40512303]
SOCS5	[-0.03521522  0.40513483]
ADCK1	[0.03521064 0.4051959 ]
NFYC	[0.03520993 0.40520541]
ITGAM	[-0.03520428  0.40528085]
TMPRSS7	[-0.03520421  0.40528173]
CTAGE6	[-0.03520406  0.40528371]
OAF	[-0.03520256  0.40530373]
SLA2	[-0.03519902  0.4053511 ]
OR52B2	[-0.03519221  0.40544204]
DAB2	[-0.03519064  0.40546294]
MSX2	[-0.03518547  0.40553192]
KIAA0286	[0.03518318 0.40556255]
ZNF77	[0.03518127 0.4055881 ]
EMX2	[0.03517912 0.40561673]
C16orf42	[-0.03516859  0.40575751]
MLH3	[0.03516847 0.40575911]
C12orf52	[-0.03516803  0.4057649 ]
TRIM21	[0.03516676 0.40578184]
SLC18A1	[-0.03516273  0.40583572]
C6orf54	[-0.03515712  0.40591063]
HPX	[0.03514981 0.4060084 ]
HTR1B	[-0.03512812  0.40629834]
MKL2	[0.03512672 0.40631706]
GZMM	[-0.03512526  0.40633651]
GLRB	[-0.03512122  0.4063906 ]
TOR1AIP1	[-0.03512047  0.40640059]
NKX2-5	[-0.03511866  0.40642477]
TRAIP	[0.03511587 0.40646214]
HOXB9	[-0.03511201  0.40651372]
ZRANB2	[0.03510775 0.40657066]
CSAD	[0.03510484 0.40660962]
TUSC2	[0.03510121 0.40665818]
TRIM68	[0.03510005 0.40667361]
SCIN	[0.03509848 0.40669468]
CYP2D7P1	[-0.03509793  0.40670208]
ARID2	[0.03509632 0.40672353]
C8orf58	[0.03508945 0.40681542]
ADORA3	[-0.03508925  0.4068182 ]
UPK1A	[-0.03507975  0.40694523]
RFPL1	[-0.03507959  0.4069474 ]
N4BP3	[-0.03507094  0.40706311]
TMEM116	[0.03506838 0.40709739]
CTNNAL1	[0.035068   0.40710255]
TMEM51	[-0.03506416  0.40715396]
HSD17B1	[-0.03505594  0.407264  ]
CLDN9	[-0.03504008  0.40747628]
JARID1C	[0.03503147 0.40759162]
HMGN2	[0.03503018 0.40760888]
KLHL32	[-0.03501353  0.40783194]
PHF3	[-0.03501112  0.40786428]
SLC11A2	[0.03500795 0.40790673]
KIAA0101	[0.03499881 0.40802921]
JMJD2C	[0.03499608 0.4080659 ]
TTC14	[0.03499377 0.40809678]
DKFZP564J0863	[0.03499079 0.40813677]
ZNF223	[-0.03498556  0.40820688]
CSH2	[-0.03498388  0.40822936]
AKAP6	[0.03497854 0.40830093]
DUSP27	[-0.03497533  0.40834409]
RGS13	[-0.03497059  0.40840764]
MYL5	[-0.03496725  0.40845237]
SCN8A	[-0.03496715  0.4084537 ]
TSPAN16	[-0.03496585  0.4084712 ]
KIAA1833	[-0.03496461  0.40848784]
PNMA3	[-0.03495457  0.40862244]
TAOK1	[0.03495407 0.40862912]
FAHD1	[-0.03494823  0.40870748]
LRRC29	[0.03494451 0.40875748]
USP48	[0.0349383  0.40884074]
FAM77C	[-0.03493682  0.40886055]
G6PC3	[-0.03493675  0.4088615 ]
SHB	[-0.0349276   0.40898437]
IL9	[-0.03492236  0.40905471]
GEMIN8	[0.03490173 0.40933159]
PDCL	[0.03489711 0.40939371]
OR4E2	[-0.03489637  0.40940365]
PIK3IP1	[0.03487947 0.40963061]
PASK	[-0.03487261  0.40972277]
CFD	[-0.03487253  0.40972383]
SUNC1	[-0.03487167  0.4097354 ]
ZFAND2A	[-0.03487148  0.40973801]
APC2	[-0.03486689  0.40979962]
RPS6	[0.03485998 0.40989257]
RPL32	[0.0348592  0.40990302]
MRPL23	[0.03485574 0.40994946]
TOR2A	[-0.03485563  0.40995102]
MPO	[-0.03485421  0.40997005]
DUSP2	[0.03484775 0.41005689]
PAX3	[-0.0348456   0.41008586]
ADCY2	[-0.03484319  0.41011817]
MUM1L1	[0.03484307 0.41011984]
KRT7	[0.03484056 0.4101536 ]
IL16	[-0.03484037  0.4101561 ]
HDAC1	[0.0348346 0.4102337]
GLT8D3	[0.03483317 0.41025294]
ACLY	[-0.03482623  0.41034629]
CHRM3	[-0.03481806  0.41045614]
HMGCL	[0.03481605 0.41048312]
LMNB1	[0.03481522 0.4104944 ]
ZNF45	[0.03481473 0.41050088]
LARP4	[0.03480849 0.41058486]
ADCYAP1	[-0.03480804  0.41059092]
RABAC1	[-0.03479857  0.4107183 ]
CTSG	[-0.03479169  0.41081092]
PKD1L2	[-0.03478521  0.41089808]
CXorf42	[0.03478496 0.4109015 ]
KLHL14	[0.03478124 0.41095153]
KCNK5	[-0.03478047  0.41096192]
CNO	[0.03477562 0.41102722]
RASL11B	[-0.03476931  0.41111211]
SLC2A10	[-0.03476302  0.41119679]
C5orf40	[-0.03476038  0.41123241]
GPR92	[-0.03475602  0.41129109]
EDG3	[0.03475427 0.41131468]
KCTD18	[0.03475314 0.41132986]
FAM81A	[-0.03474431  0.41144879]
tAKR	[-0.03474061  0.41149868]
MYD88	[-0.03473447  0.41158132]
SLC9A3	[-0.03472961  0.41164681]
ITGB1BP3	[-0.03472564  0.41170035]
TMEM60	[-0.03471275  0.41187406]
GBF1	[0.0347091  0.41192322]
PLEKHG2	[-0.03470867  0.4119291 ]
TMEM40	[-0.0347086   0.41192995]
FOXR1	[-0.03470325  0.41200205]
ZNF768	[0.03470187 0.41202067]
PRG3	[-0.03470141  0.41202686]
OR9A2	[-0.03469917  0.41205707]
ASF1B	[0.03469127 0.41216363]
SH2D2A	[-0.03468185  0.41229067]
EIF4EBP2	[0.03467791 0.41234374]
OR10A5	[0.03467451 0.4123896 ]
MED18	[-0.03467029  0.4124466 ]
C7orf26	[-0.03466984  0.41245256]
MGC9913	[0.03465698 0.41262604]
SLC30A9	[0.03464686 0.41276269]
ZNF664	[0.03464274 0.41281833]
PLA2G2D	[-0.03463976  0.41285846]
SDK2	[-0.03463566  0.41291388]
CABLES1	[0.03462631 0.41304002]
SP5	[-0.03462051  0.41311838]
TOE1	[0.03462048 0.41311871]
TMEM67	[0.03461776 0.4131555 ]
ENPP5	[-0.03461376  0.41320946]
C16orf52	[0.03461283 0.41322208]
CILP2	[-0.03461034  0.41325564]
QRICH2	[-0.0346025   0.41336155]
JUB	[0.03459432 0.41347201]
CAPS2	[-0.03459277  0.41349295]
ADRA1D	[-0.03459229  0.41349954]
NCOA4	[0.03459188 0.41350502]
CABP4	[-0.03459157  0.41350925]
SNX17	[-0.03458976  0.4135336 ]
GP1BA	[-0.03458278  0.41362795]
PCDHGB6	[-0.03457668  0.41371032]
FLJ25476	[-0.03457627  0.41371588]
LAYN	[0.03457581 0.41372217]
TMEM8	[-0.03457394  0.41374736]
OR4C3	[-0.03457181  0.41377624]
FAM47B	[-0.03456831  0.41382348]
MTMR9	[0.03456684 0.41384336]
IPO9	[0.03456666 0.41384574]
MBD3L2	[-0.03456254  0.41390148]
UBR4	[0.0345578  0.41396556]
C19orf57	[0.03454528 0.41413479]
MAGEB3	[-0.03454507  0.41413767]
DNASE1	[-0.03452115  0.41446121]
ATXN7L3	[-0.03451387  0.41455974]
IFNGR1	[-0.03451219  0.41458239]
WBP11	[-0.03450946  0.41461935]
UBAP1	[0.03450221 0.41471741]
ZNF573	[-0.03450217  0.41471799]
DGAT2L3	[-0.03449475  0.41481842]
GPR176	[-0.03448908  0.41489517]
CCDC49	[-0.034488    0.41490978]
ARMCX6	[0.03448008 0.41501695]
GRWD1	[0.03447936 0.41502667]
ERG	[-0.03447768  0.41504949]
U1SNRNPBP	[-0.03447489  0.41508729]
NISCH	[0.03447272 0.41511671]
CORO2A	[0.03446988 0.41515516]
EP400	[0.03445757 0.4153218 ]
CLRN1	[-0.03445741  0.41532404]
TBXA2R	[-0.03445677  0.4153326 ]
HPS6	[-0.03444986  0.41542624]
IMPACT	[0.03444801 0.41545136]
KCNQ1	[0.03444201 0.4155326 ]
GTPBP1	[-0.03443986  0.41556168]
IGFALS	[-0.03443951  0.4155665 ]
CACNG7	[-0.0344392   0.41557067]
FLJ20628	[0.03443662 0.41560563]
PLEKHC1	[-0.03442986  0.4156972 ]
PIK3R4	[0.03442427 0.41577294]
C6orf201	[-0.0344226   0.41579564]
SEDLP	[-0.03442206  0.41580288]
GEFT	[0.03441937 0.41583935]
DCTD	[0.03441859 0.41584993]
C20orf71	[-0.03441224  0.4159361 ]
LZTS1	[-0.03441069  0.41595707]
FLJ37464	[-0.03440778  0.41599645]
WDR19	[-0.03440333  0.41605677]
TMSL3	[0.03440229 0.41607089]
NUDT16L1	[-0.03440034  0.41609735]
UNC119B	[0.03439841 0.41612362]
LCE3C	[-0.03439331  0.41619271]
LUC7L	[-0.03438312  0.41633089]
UCK1	[0.03438158 0.41635185]
ELOF1	[0.03436874 0.41652594]
PCP2	[-0.03436718  0.41654721]
STAM	[0.03436439 0.41658502]
ZFYVE1	[0.0343625  0.41661068]
TTC13	[-0.03435435  0.41672121]
FAM86A	[0.03435358 0.41673167]
COMMD5	[-0.03434979  0.41678308]
TFAP2E	[-0.03434604  0.41683402]
ASB14	[-0.03434209  0.41688769]
C8orf41	[0.03432002 0.41718731]
GATAD2A	[0.03431709 0.41722714]
ZNF551	[0.03431486 0.41725733]
LDB1	[0.03431045 0.41731728]
UCHL5	[-0.03430506  0.41739049]
SLC2A5	[-0.03430101  0.41744547]
STK32C	[0.03428947 0.41760227]
CCDC98	[-0.03428216  0.41770166]
SEMA7A	[-0.03427899  0.41774473]
OR1A1	[-0.03427776  0.41776149]
P2RX1	[-0.0342746   0.41780443]
RABGEF1	[-0.03427397  0.41781291]
ECH1	[0.03427234 0.41783503]
IMMP1L	[0.03427036 0.417862  ]
SCRN2	[-0.03426847  0.41788766]
C9orf4	[-0.03426686  0.41790957]
OR1D2	[0.03426683 0.41791001]
RCN2	[0.03426135 0.41798452]
IFT20	[-0.03425858  0.41802214]
TCF12	[0.0342573 0.4180396]
NCK1	[-0.03425555  0.41806339]
SPACA4	[-0.03425004  0.41813827]
SERPINB4	[-0.03424836  0.41816117]
TMEPAI	[-0.0342405   0.41826805]
OLAH	[-0.03423715  0.41831362]
CHM	[0.03423528 0.41833897]
DPYSL4	[-0.03423346  0.41836375]
ACCN4	[-0.03423288  0.41837165]
OR1N2	[0.03423271 0.41837395]
LOC126147	[-0.03422614  0.41846339]
LRRC3B	[-0.03422596  0.41846577]
PHF21B	[-0.03422506  0.4184781 ]
TKTL2	[-0.03422279  0.41850896]
NDUFB4	[-0.03421974  0.41855039]
MYRIP	[-0.03421752  0.41858066]
MLLT11	[-0.03421343  0.41863623]
FAM80A	[-0.03421203  0.41865537]
RPESP	[-0.03421099  0.41866955]
ECM1	[-0.03419592  0.41887454]
GRIN3A	[-0.03419552  0.41888006]
TSKU	[-0.03419371  0.41890466]
C8orf22	[-0.03419304  0.41891383]
SERPINB6	[-0.03418896  0.41896939]
DHX36	[0.03418636 0.41900474]
BRD3	[0.03418456 0.41902919]
HPS4	[0.03417897 0.41910529]
MAOB	[0.03417827 0.41911488]
PCDHA3	[-0.0341706  0.4192194]
COX7A2L	[-0.03417018  0.419225  ]
FRAP1	[0.03416435 0.41930445]
SDCCAG1	[0.0341609  0.41935142]
PRF1	[-0.03416035  0.41935893]
RHBDD1	[0.03415747 0.41939822]
VSIG2	[0.03415273 0.41946271]
PSG3	[-0.03415155  0.41947884]
RAGE	[0.0341504 0.4194945]
LCN1	[0.03414973 0.41950362]
SLC26A10	[0.0341421  0.41960757]
ANKMY2	[0.0341356  0.41969617]
PRKCI	[0.03413482 0.41970685]
ZNF527	[-0.03412799  0.41979981]
C10orf111	[-0.03412434  0.41984956]
TRIM9	[-0.03412263  0.419873  ]
RNASEH2A	[0.03412233 0.41987703]
MAP9	[-0.03411866  0.4199271 ]
MLLT3	[0.03411855 0.41992858]
GOLGB1	[0.03411498 0.41997718]
RPL35A	[0.03410668 0.42009045]
GPATCH2	[-0.03410548  0.42010675]
XRCC6	[0.03410524 0.42010997]
C18orf22	[-0.03410044  0.4201755 ]
FCN1	[-0.03409755  0.42021493]
RP11-529I10.4	[0.0340907  0.42030835]
MYOC	[-0.0340872   0.42035605]
PAK6	[0.03408667 0.42036328]
MGC15705	[0.03408157 0.42043291]
ADSL	[-0.03407718  0.42049282]
NAGPA	[-0.03406958  0.42059651]
CENPF	[0.0340649  0.42066037]
PATZ1	[0.03406444 0.42066653]
C21orf84	[-0.03406444  0.42066653]
FAM82A	[-0.03405076  0.42085334]
TRAF3	[0.03405049 0.42085695]
RBP1	[0.03404758 0.42089677]
CLP1	[0.03404344 0.42095328]
SAA3P	[-0.0340401   0.42099879]
WNT2B	[0.03403775 0.42103096]
CNTN5	[-0.0340354   0.42106303]
DOK7	[0.03403208 0.42110838]
UBXD2	[0.03403141 0.42111746]
KIAA1191	[-0.03403024  0.42113351]
CD3E	[-0.03402864  0.42115526]
C9orf68	[0.03402833 0.42115948]
TTBK2	[-0.03402748  0.42117121]
ARHGDIB	[-0.03402458  0.42121068]
NDUFS2	[0.03402341 0.42122669]
GPNMB	[-0.03402054  0.42126587]
MYL3	[-0.03401917  0.42128466]
BLCAP	[0.03401866 0.42129161]
BBS2	[0.03401198 0.4213828 ]
SERPINB13	[-0.03401143  0.4213903 ]
TSR1	[0.03400788 0.42143882]
LOC399900	[-0.03400758  0.42144301]
CAPN10	[-0.03400372  0.42149566]
RNF130	[-0.03398976  0.42168644]
AHCYL1	[0.03398807 0.42170947]
KCTD8	[-0.03397884  0.42183572]
BTF3L4	[-0.03397719  0.42185827]
POU3F2	[-0.03397456  0.42189424]
KLHDC1	[-0.03397015  0.4219545 ]
ZNF146	[-0.03396199  0.4220661 ]
NOSIP	[-0.03396078  0.42208255]
CSF2	[-0.03395561  0.42215329]
TPCN2	[0.03394505 0.42229769]
ZFP62	[0.03394479 0.42230128]
COX15	[0.03394446 0.42230579]
SETBP1	[0.03394132 0.42234873]
DCX	[-0.03392656  0.42255064]
FLJ39378	[-0.03392002  0.42264006]
QSOX1	[0.03391484 0.42271095]
CMTM1	[0.03389301 0.4230098 ]
FXYD3	[-0.03389095  0.423038  ]
MAP1B	[-0.03388438  0.42312792]
SHMT2	[0.03388337 0.42314174]
GKAP1	[-0.03388297  0.4231473 ]
KIF21B	[-0.03388179  0.4231634 ]
ELMO2	[-0.03387762  0.42322051]
ZNF816A	[0.03386787 0.42335403]
ARF1	[-0.03386447  0.42340062]
OR1M1	[-0.03386356  0.4234131 ]
HAP1	[-0.03385555  0.42352291]
LOC342897	[-0.03385499  0.42353046]
ZFYVE20	[0.03384994 0.42359965]
TAS2R40	[-0.03384075  0.42372567]
P2RY12	[-0.03383921  0.42374679]
EIF2S1	[0.03383828 0.42375953]
ODZ3	[-0.03382733  0.42390961]
C6orf70	[-0.03382531  0.4239373 ]
GIPC1	[0.03381887 0.4240255 ]
PHLPPL	[-0.03381727  0.4240475 ]
C1orf25	[-0.03381001  0.42414699]
NANOS3	[-0.03380499  0.42421585]
ARNT	[-0.03380303  0.42424279]
YWHAB	[0.03380183 0.42425921]
DZIP1L	[-0.03380084  0.42427284]
SLC22A10	[-0.0337994   0.42429252]
UBE2J1	[-0.03379114  0.42440585]
ARRB1	[-0.03378776  0.42445219]
FNDC8	[0.03378688 0.42446428]
RAB37	[-0.03378056  0.42455099]
TIMELESS	[0.03377361 0.42464628]
TMEM52	[-0.03377242  0.42466265]
TPMT	[-0.03376175  0.42480913]
CECR2	[-0.03376147  0.42481297]
TBL1Y	[-0.03376144  0.4248133 ]
CD207	[-0.03375852  0.42485342]
KIAA0329	[0.03375702 0.42487403]
SLC12A8	[-0.03375357  0.42492143]
ACO1	[0.0337502  0.42496771]
KIAA0157	[0.03374167 0.42508469]
MAGED1	[0.03373706 0.42514803]
TUBA8	[-0.03373188  0.42521912]
ENPP6	[-0.03372466  0.42531827]
NTRK3	[0.0337219  0.42535623]
C1orf71	[-0.03371098  0.42550628]
SUHW1	[0.033707   0.42556089]
RFESD	[-0.03370209  0.42562832]
ANKRD35	[-0.03370179  0.42563249]
TBKBP1	[-0.03369616  0.42570983]
RPS27A	[0.03369598 0.42571241]
NR1D2	[0.03368972 0.42579839]
FZR1	[0.03368803 0.42582166]
APLP1	[-0.03366181  0.4261821 ]
OR10A7	[-0.03364926  0.42635466]
STOML1	[-0.0336443   0.42642283]
ZNF35	[0.03363279 0.42658126]
TXNL4A	[-0.03362712  0.42665916]
ZNF124	[-0.03362592  0.42667572]
CASC1	[-0.03362392  0.42670319]
NKD2	[-0.03362205  0.42672902]
GABARAPL3	[-0.03360788  0.42692401]
PTCHD2	[-0.03360601  0.42694973]
AURKA	[0.03360374 0.42698105]
TEAD4	[-0.03359184  0.42714482]
C15orf52	[0.03357329 0.42740028]
APLP2	[0.0335657  0.42750476]
ST6GALNAC5	[-0.03356203  0.42755537]
FBXO8	[-0.03355858  0.42760296]
